t,dx,dy,dz,ax,ay,az
0,0,0,0,-1.39998,2.39996,0.3
0.02,-0.06857,0.03113,0.12387,-10.79983,-22.99963,1.89997
0.04,-0.14047,0.05518,0.24891,-10.09984,-27.49956,6.79989
0.06,-0.21637,0.06747,0.37588,-8.79986,-39.69937,2.89995
0.08,-0.29601,0.06519,0.50448,-9.49985,-38.99938,2.89995
0.1,-0.37964,0.05057,0.63458,-11.99981,-5.9999,5.39991
0.12,-0.46807,0.03495,0.76696,-14.19977,40.89935,8.29987
0.14,-0.56184,0.02902,0.90216,-12.7998,20.89967,5.29992
0.16,-0.6607,0.02455,1.03948,-10.99983,-68.29892,1.39998
0.18,-0.76392,0.00206,1.17822,-8.49986,-64.69897,5.29992
0.2,-0.8708,-0.03927,1.31958,-8.49986,9.09986,13.39979
0.22,-0.98157,-0.08389,1.46548,-13.09979,13.39979,12.3998
0.24,-1.09758,-0.12173,1.61594,-17.59972,31.6995,6.59989
0.26,-1.22038,-0.14449,1.76966,-19.39969,73.79883,6.0999
0.28,-1.35047,-0.1433,1.92668,-16.19974,59.99904,13.29979
0.3,-1.48719,-0.12803,2.08754,-14.39977,-53.09915,4.89992
0.32,-1.62951,-0.11996,2.25175,-10.79983,-26.09958,9.59985
0.34,-1.77627,-0.1237,2.42034,-8.19987,-12.99979,18.7997
0.36,-1.92619,-0.13703,2.59617,-4.19993,-43.8993,24.29961
0.38,-2.07845,-0.16731,2.78015,-6.59989,-68.9989,13.29979
0.4,-2.23378,-0.21694,2.96977,-13.09979,-11.69981,4.59993
0.42,-2.3943,-0.27318,3.16091,-18.9997,25.99959,-8.09987
0.44,-2.56192,-0.31698,3.34941,-19.59969,83.99866,-15.59975
0.46,-2.73604,-0.32916,3.53323,-6.59989,121.99806,-8.49986
0.48,-2.91315,-0.31083,3.71355,2.99995,-23.19963,-3.09995
0.5,-3.08894,-0.29863,3.89289,14.09978,-136.99782,3.99994
0.52,-3.26212,-0.3234,4.07366,-4.89992,-72.69884,8.49986
0.54,-3.43616,-0.3802,4.25793,-12.7998,-38.09939,13.19979
0.56,-3.61471,-0.44793,4.44758,-14.39977,39.39937,17.99971
0.58,-3.79948,-0.50386,4.64385,-20.29968,77.09877,16.19974
0.6,-3.99236,-0.53685,4.84548,-25.99959,35.59943,2.29996
0.62,-4.19574,-0.5532,5.04952,-32.49948,17.89971,2.49996
0.64,-4.4113,-0.5641,5.25518,-30.59951,-17.09973,7.99987
0.66,-4.63797,-0.57719,5.46355,-17.19973,-5.79991,7.69988
0.68,-4.87313,-0.59508,5.67543,-19.69969,-19.39969,10.99983
0.7,-5.1156,-0.61511,5.89169,-16.29974,22.89963,13.09979
0.72,-5.36496,-0.62345,6.11256,-16.39974,90.29856,8.09987
0.74,-5.61992,-0.61223,6.33657,-6.69989,-7.99987,1.29998
0.76,-5.87763,-0.60465,6.56023,2.49996,-110.99824,-15.09976
0.78,-6.13402,-0.62705,6.77778,14.99976,-69.89889,-32.99947
0.8,-6.38483,-0.67639,6.98199,23.59962,-18.7997,-53.19915
0.82,-6.62692,-0.73068,7.16589,25.1996,57.69908,-64.59897
0.84,-6.85826,-0.7645,7.32638,33.59946,107.99828,-52.49916
0.86,-7.07576,-0.75363,7.46585,46.29926,172.99724,-41.49934
0.88,-7.27573,-0.6977,7.58784,49.19922,-3.59994,-40.09936
0.9,-7.45707,-0.63485,7.6926,41.89933,-96.79846,-51.49918
0.92,-7.62153,-0.58504,7.77744,35.89943,66.59894,-56.8991
0.94,-7.77194,-0.51987,7.84012,27.09957,116.99814,-57.19909
0.96,-7.911,-0.40732,7.88047,23.49963,172.99724,-52.79916
0.98,-8.03929,-0.26905,7.89966,33.89946,-205.99671,-49.69921
1,-8.15434,-0.16022,7.89874,41.19934,-55.49912,-49.79921
1.02,-8.25248,-0.08737,7.87747,52.99916,-43.09931,-54.99912
1.04,-8.32953,-0.01931,7.83538,63.89898,93.59851,-49.19922
1.06,-8.38121,0.06537,7.77373,73.19883,21.99965,-43.09931
1.08,-8.40535,0.14544,7.69501,65.19896,-183.99706,-36.19942
1.1,-8.40316,0.17252,7.60202,59.89905,-183.99706,-27.99955
1.12,-8.3785,0.14024,7.49786,39.99936,-41.89933,-20.39967
1.14,-8.33586,0.08725,7.38544,39.99936,60.59903,-14.69977
1.16,-8.28061,0.05942,7.26599,6.2999,171.99726,-21.29966
1.18,-8.22527,0.05796,7.14042,-51.49918,-140.99776,-4.69992
1.2,-8.18749,0.04112,7.01402,-78.69874,-43.9993,21.49966
1.22,-8.17665,-0.00126,6.89632,-60.29904,-26.69958,47.89924
1.24,-8.1906,-0.04818,6.79624,-48.39923,51.89917,57.99908
1.26,-8.22278,-0.07862,6.71452,-24.9996,87.49861,18.7997
1.28,-8.2654,-0.0867,6.64122,-5.89991,-3.49994,-12.19981
1.3,-8.31039,-0.0948,6.56206,13.39979,-80.89871,-53.79914
1.32,-8.35023,-0.12039,6.46133,30.79951,-9.79984,-96.79846
1.34,-8.37759,-0.15323,6.32495,49.89921,27.79956,-109.99825
1.36,-8.38482,-0.17057,6.14637,70.99887,108.99827,-105.99831
1.38,-8.36292,-0.1591,5.92498,99.49842,42.09933,-106.9983
1.4,-8.30185,-0.1362,5.66168,121.99806,-79.09874,-99.89841
1.42,-8.19115,-0.13154,5.35843,152.99756,-66.39894,-93.59851
1.44,-8.02316,-0.15083,5.01526,144.99768,-27.89956,-112.9982
1.46,-7.7993,-0.18655,4.62551,115.99816,-42.29933,-146.99765
1.48,-7.52841,-0.23612,4.18304,93.49851,-26.09958,-120.99808
1.5,-7.21831,-0.29307,3.69077,89.19858,20.39967,-109.99825
1.52,-6.87179,-0.34333,3.1559,92.59852,52.09917,-85.79864
1.54,-6.48946,-0.38509,2.58659,83.89867,-39.89937,-63.59898
1.56,-6.07209,-0.43057,1.99227,90.09856,-9.59985,-37.99939
1.58,-5.61841,-0.47957,1.38253,99.29842,23.59962,-15.49975
1.6,-5.12378,-0.51699,0.76704,120.99808,78.09875,10.69983
1.62,-4.59175,-0.53186,0.15561,32.79948,45.49927,33.79946
1.64,-4.05589,-0.53569,-0.44192,-147.99764,-58.89906,59.89905
1.66,-3.56707,-0.54988,-1.01566,-206.9967,-31.4995,83.49867
1.68,-3.15436,-0.57409,-1.55571,-198.99683,21.49966,108.99827
1.7,-2.82247,-0.5897,-2.05224,-202.99676,74.29882,132.99789
1.72,-2.5693,-0.57588,-2.49628,-181.9971,123.99803,148.99762
1.74,-2.39015,-0.53508,-2.88523,-172.99724,-52.69916,118.99811
1.76,-2.28132,-0.49373,-3.22431,-174.99721,-13.29979,110.99824
1.78,-2.2423,-0.46428,-3.51919,-174.99721,-39.79937,99.99841
1.8,-2.27391,-0.4505,-3.77209,-180.99711,-64.09898,107.99828
1.82,-2.37553,-0.45332,-3.98507,-162.9974,1.79997,82.39869
1.84,-2.54137,-0.45272,-4.16699,-134.99785,94.59849,36.89941
1.86,-2.76143,-0.43247,-4.33546,-108.99827,5.19992,-22.49964
1.88,-3.02463,-0.41691,-4.51945,-78.19875,-151.99757,-147.99764
1.9,-3.31867,-0.43609,-4.75311,-42.89932,-48.89922,-178.99714
1.92,-3.62931,-0.48123,-5.05318,-1.69997,-9.89984,-158.99746
1.94,-3.94099,-0.52779,-5.41977,35.99943,54.29913,-168.9973
1.96,-4.23782,-0.56511,-5.85116,78.49875,-6.59989,-151.99757
1.98,-4.50376,-0.6005,-6.34427,115.99816,-21.89965,-144.99768
2,-4.72268,-0.64101,-6.895,159.99745,-0.99998,-134.99785
2.02,-4.87842,-0.6851,-7.49984,195.99687,-12.09981,-126.99798
2.04,-4.95487,-0.73698,-8.15529,240.99616,-52.89916,-117.99812
2.06,-4.93625,-0.80488,-8.85786,272.99565,-42.59932,-108.99827
2.08,-4.80855,-0.88731,-9.60391,303.99516,-7.29988,-99.69841
2.1,-4.56077,-0.97317,-10.38836,319.9949,22.69964,-76.39878
2.12,-4.18441,-1.05206,-11.20392,341.99455,31.3995,-59.49905
2.14,-3.67947,-1.12845,-12.03988,281.99551,-60.59903,-9.49985
2.16,-3.06076,-1.2155,-12.87819,231.9963,-17.09973,54.19914
2.18,-2.37946,-1.31052,-13.69592,-119.99809,14.89976,105.99831
2.2,-1.72269,-1.40184,-14.47925,-236.99622,24.09962,76.99877
2.22,-1.14173,-1.48526,-15.23065,-163.99738,15.69975,58.49907
2.24,-0.63599,-1.55803,-15.96009,-186.99702,50.89919,24.69961
2.26,-0.19507,-1.61799,-16.67993,-109.99825,10.29984,-12.7998
2.28,0.1976,-1.67368,-17.40653,-75.2988,-28.89954,-67.49892
2.3,0.56247,-1.73553,-18.15608,-17.29972,-14.39977,-82.59868
2.32,0.91745,-1.80555,-18.93403,11.29982,-24.09962,-52.09917
2.34,1.27828,-1.88391,-19.73358,53.29915,-21.09966,-29.99952
2.36,1.65982,-1.9665,-20.5435,89.49857,23.89962,7.39988
2.38,2.07648,-2.05507,-21.35039,118.99811,-86.69862,44.69929
2.4,2.54346,-2.16637,-22.139,175.99719,-77.99876,85.19864
2.42,3.06328,-2.30451,-22.89481,57.59908,-25.99959,111.99822
2.44,3.58591,-2.45542,-23.6104,-262.99581,2.19997,92.19853
2.46,4.04617,-2.60248,-24.28852,-154.99753,59.89905,77.49876
2.48,4.43182,-2.74437,-24.93638,-172.99724,-70.49888,54.39914
2.5,4.75725,-2.90333,-25.56398,-100.99839,-89.79857,15.59975
2.52,5.03937,-3.08955,-26.18476,-57.89908,-22.69964,-18.29971
2.54,5.30216,-3.28993,-26.81367,23.69962,-6.59989,-61.19903
2.56,5.55718,-3.48603,-27.46357,-66.99893,78.49875,-69.99889
2.58,5.78136,-3.66676,-28.13668,-197.99684,3.09995,-31.79949
2.6,5.94281,-3.84266,-28.82345,-163.99738,-36.59942,-3.79994
2.62,6.03475,-4.02769,-29.51123,-168.9973,-21.39966,28.39955
