t,dx,dy,dz,ax,az
0.0,0.0,0.0,0.0,-25.63,238.73
0.01,-0.2016,0.0089,-0.0878,-14.34,220.11
0.02,-0.405,0.0246,-0.1537,-21.43,195.66
0.03,-0.6107,0.0485,-0.2,-35.4,172.75
0.04,-0.8198,0.0814,-0.2288,-42.58,157.68
0.05,-1.0327,0.1235,-0.2415,-32.13,154.08
0.06,-1.2481,0.1742,-0.2385,0.81,162.05
0.07,-1.463,0.2312,-0.2191,53.76,178.53
0.08,-1.6722,0.2916,-0.1817,117.83,198.28
0.09,-1.8696,0.3522,-0.1245,180.72,215.61
0.1,-2.0492,0.4104,-0.0459,229.98,226.72
0.11,-2.2064,0.4642,0.0552,256.15,230.74
0.12,-2.3386,0.5128,0.1792,255.31,229.29
0.13,-2.4459,0.5564,0.3262,230.76,225.56
0.14,-2.5304,0.5967,0.4958,192.64,222.75
0.15,-2.5956,0.6359,0.6877,154.28,222.95
0.16,-2.645,0.6773,0.902,127.34,226.8
0.17,-2.6813,0.7237,1.1391,118.44,232.9
0.18,-2.7052,0.7769,1.3995,127.82,237.45
0.19,-2.716,0.8366,1.6835,149.41,235.42
0.2,-2.7117,0.9004,1.9907,172.81,222.64
0.21,-2.6904,0.9649,2.32,186.55,197.32
0.22,-2.6509,1.0261,2.6687,181.62,160.88
0.23,-2.5938,1.0805,3.0334,154.13,118.18
0.24,-2.5217,1.1258,3.4099,107.01,76.63
0.25,-2.4391,1.1608,3.7944,50.22,43.4
0.26,-2.3513,1.1857,4.1835,-1.77,22.36
0.27,-2.2633,1.2019,4.5751,-35.1,11.9
0.28,-2.178,1.2113,4.9681,-41.66,5.0
0.29,-2.0962,1.2163,5.3614,-21.96,-7.7
0.3,-2.0162,1.2188,5.7537,15.5,-33.92
0.31,-1.9344,1.2201,6.1421,57.42,-76.94
0.32,-1.8471,1.2209,6.5226,90.24,-134.32
0.33,-1.7512,1.2213,6.8894,104.0,-198.68
0.34,-1.6455,1.2215,7.2365,94.32,-259.89
0.35,-1.5308,1.2209,7.558,62.91,-307.69
0.36,-1.4102,1.2188,7.8493,17.48,-334.26
0.37,-1.2879,1.2139,8.1078,-29.89,-336.6
0.38,-1.1682,1.2058,8.3331,-66.5,-317.54
0.39,-1.0547,1.194,8.5271,-82.94,-285.01
0.4,-0.9488,1.1787,8.6927,-75.75,-249.38
0.41,-0.8499,1.1599,8.8333,-48.06,-219.93
0.42,-0.7556,1.1379,8.9516,-8.39,-201.99
0.43,-0.662,1.1131,9.0494,32.16,-195.45
0.44,-0.5654,1.086,9.1276,62.88,-194.79
0.45,-0.4629,1.0574,9.1864,75.7,-191.66
0.46,-0.3534,1.0278,9.2263,66.45,-178.81
0.47,-0.2378,0.9981,9.2486,35.93,-152.86
0.48,-0.1189,0.9692,9.2561,-9.67,-115.02
0.49,-0.001,0.9416,9.2522,-59.67,-70.51
0.5,0.1111,0.9152,9.2413,-101.66,-26.88
0.51,0.2136,0.8896,9.2275,-125.43,8.29
0.52,0.3041,0.8642,9.2142,-125.93,29.78
0.53,0.3826,0.8385,9.2036,-103.98,36.43
0.54,0.4512,0.8117,9.1964,-65.03,31.44
0.55,0.5135,0.7845,9.1922,-16.91,21.3
0.56,0.5742,0.759,9.1903,32.22,14.45
0.57,0.638,0.7379,9.1901,74.93,19.25
0.58,0.7091,0.723,9.1923,104.97,41.22
0.59,0.7902,0.714,9.1992,118.4,81.16
0.6,0.8828,0.7094,9.2145,114.81,134.88
0.61,0.9865,0.7063,9.2435,97.52,194.11
0.62,1.0998,0.7019,9.2919,72.47,248.26
0.63,1.2205,0.6938,9.3647,46.84,286.95
0.64,1.3459,0.6808,9.4656,27.86,302.56
0.65,1.4746,0.6628,9.5962,21.95,292.07
0.66,1.6059,0.6407,9.7555,33.31,257.63
0.67,1.741,0.6165,9.9401,62.18,205.45
0.68,1.8827,0.5929,10.1451,103.52,143.67
0.69,2.0348,0.5718,10.3644,147.02,79.81
0.7,2.2013,0.554,10.5918,179.23,18.77
0.71,2.3853,0.5389,10.8212,187.83,-37.17
0.72,2.5873,0.525,11.0472,165.47,-86.79
0.73,2.805,0.5113,11.2646,111.41,-128.86
0.74,3.0333,0.4967,11.4695,32.05,-161.47
0.75,3.2646,0.4808,11.6586,-59.76,-182.4
0.76,3.49,0.4631,11.8298,-147.41,-190.68
0.77,3.7012,0.4434,11.9822,-214.33,-187.65
0.78,3.8919,0.4213,12.1161,-247.68,-176.99
0.79,4.0588,0.397,12.2324,-242.24,-164.66
0.8,4.2023,0.3709,12.3322,-203.32,-157.88
0.81,4.326,0.3427,12.4159,-146.09,-162.95
0.82,4.4351,0.3117,12.483,-90.44,-182.82
0.83,4.5347,0.2768,12.5315,-54.06,-215.82
0.84,4.6282,0.2366,12.5583,-48.09,-255.94
0.85,4.7161,0.191,12.5596,-74.72,-294.0
0.86,4.7959,0.1409,12.5319,-126.15,-320.05
