t,dx,dy,dz,ax,ay,az
0.000000,28.56299201,-1.14876371,-22.36514501,-13.09370000,8.72374000,-8.83338000
0.010000,28.39309830,-1.15203522,-22.27611104,-18.46370000,-55.75626000,-13.87338000
0.020000,28.22146896,-1.15981181,-22.18867238,-23.46370000,-81.44626000,-25.68338000
0.030000,28.04749696,-1.17478551,-22.10336703,-32.37370000,-73.26626000,-18.54338000
0.040000,27.87050083,-1.19717604,-22.01972600,-36.81370000,-72.72626000,-2.25338000
0.050000,27.69011830,-1.22702792,-21.93662978,-33.51370000,-83.76626000,2.80662000
0.060000,27.50650114,-1.26536215,-21.85329162,-29.60370000,-103.06626000,7.86662000
0.070000,27.31992133,-1.31389947,-21.76914903,-29.84370000,-122.25626000,15.18662000
0.080000,27.13040438,-1.37324113,-21.68372951,-32.25370000,-88.62626000,14.38662000
0.090000,26.93789003,-1.43901664,-21.59690205,-29.60370000,38.12374000,13.90662000
0.100000,26.74293030,-1.50118299,-21.50862065,-10.41370000,152.71374000,17.50662000
0.110000,26.54736617,-1.55252069,-21.41884831,22.19630000,85.56374000,12.26662000
0.120000,26.35404641,-1.59815023,-21.32807829,51.73630000,-99.54626000,-0.58338000
0.130000,26.16596724,-1.65036686,-21.23709909,79.89630000,-153.98626000,-1.18338000
0.140000,25.98623419,-1.71335059,-21.14572244,118.25630000,-27.19626000,20.39662000
0.150000,25.81830550,-1.77858691,-21.05218611,151.70630000,114.24374000,48.32662000
0.160000,25.66499166,-1.83480358,-20.95425460,158.86630000,155.46374000,60.30662000
0.170000,25.52726694,-1.87780284,-20.85060465,150.06630000,99.49374000,61.34662000
0.180000,25.40460932,-1.91141545,-20.74072526,139.62630000,16.98374000,67.72662000
0.190000,25.29591730,-1.94235965,-20.62416594,125.24630000,-30.75626000,71.94662000
0.200000,25.19989165,-1.97535094,-20.50057893,112.47630000,-41.38626000,71.03662000
0.210000,25.11537186,-2.01116958,-20.36986749,105.97630000,-3.59626000,72.50662000
0.220000,25.04125742,-2.04665581,-20.23213636,87.72630000,57.84374000,66.28662000
0.230000,24.97536484,-2.07777964,-20.08816554,43.38630000,58.37374000,46.05662000
0.240000,24.91375037,-2.10395881,-19.93997054,-7.43370000,19.16374000,12.11662000
0.250000,24.85201901,-2.12714957,-19.79066810,-37.25370000,18.80374000,-24.44338000
0.260000,24.78735275,-2.14757543,-19.64333248,-39.51370000,49.79374000,-40.35338000
0.270000,24.71946136,-2.16294964,-19.49984992,-16.78370000,79.64374000,-47.42338000
0.280000,24.65032257,-2.17120193,-19.36134167,19.12630000,71.76374000,-62.22338000
0.290000,24.58292564,-2.17418008,-19.22900149,44.14630000,-16.23626000,-73.30338000
0.300000,24.51945032,-2.17906056,-19.10410862,45.38630000,-119.41626000,-87.51338000
0.310000,24.46011035,-2.19271364,-18.98820157,26.43630000,-99.86626000,-109.55338000
0.320000,24.40300200,-2.21364082,-18.88291158,-13.05370000,24.15374000,-116.51338000
0.330000,24.34439600,-2.23338084,-18.78883240,-64.29370000,95.01374000,-104.30338000
0.340000,24.27982736,-2.24680995,-18.70535979,-100.92370000,34.22374000,-97.59338000
0.350000,24.20582708,-2.25856166,-18.63226000,-115.18370000,-100.39626000,-113.87338000
0.360000,24.12068141,-2.27827471,-18.57112376,-118.58370000,-155.91626000,-151.65338000
0.370000,24.02384809,-2.30974410,-18.52535059,-119.21370000,-62.05626000,-195.79338000
0.380000,23.91565489,-2.34656059,-18.49855574,-101.44370000,62.11374000,-214.34338000
0.390000,23.79827504,-2.37963193,-18.49227444,-49.42370000,83.60374000,-194.51338000
0.400000,23.67562430,-2.40726661,-18.50537222,-14.60370000,-15.88626000,-170.24338000
0.410000,23.55032291,-2.43662013,-18.53589855,-31.45370000,-124.61626000,-160.59338000
0.420000,23.42198314,-2.47612650,-18.58214920,-48.08370000,-145.02626000,-135.99338000
0.430000,23.28945322,-2.52904771,-18.64118742,-44.04370000,-125.95626000,-77.37338000
0.440000,23.15259042,-2.59441126,-18.70806370,-41.20370000,-104.78626000,-21.23338000
0.450000,23.01191247,-2.66914966,-18.77798854,-30.21370000,-43.49626000,-0.55338000
0.460000,22.86889637,-2.74771866,-18.84804520,4.04630000,34.52374000,18.61662000
0.470000,22.72672339,-2.82451999,-18.91576842,51.78630000,41.12374000,58.20662000
0.480000,22.58962927,-2.89884893,-18.97817770,91.47630000,-21.90626000,79.07662000
0.490000,22.46143150,-2.97436720,-19.03342530,117.05630000,-48.91626000,71.65662000
0.500000,22.34517384,-3.05246357,-19.08131871,147.95630000,12.58374000,73.32662000
0.510000,22.24375604,-3.12890529,-19.12151194,176.56630000,85.90374000,91.24662000
0.520000,22.15895485,-3.19913460,-19.15294198,159.51630000,60.07374000,96.25662000
0.530000,22.08969701,-3.26448250,-19.17527059,122.07630000,-14.82626000,81.84662000
0.540000,22.03352729,-3.32925725,-19.18941426,115.79630000,-11.52626000,68.99662000
0.550000,21.98901642,-3.39371009,-19.19618724,108.62630000,46.72374000,76.53662000
0.560000,21.95506141,-3.45335528,-19.19487229,85.12630000,106.35374000,102.99662000
0.570000,21.93016950,-3.50181581,-19.18351690,79.58630000,183.92374000,120.63662000
0.580000,21.91383396,-3.53217693,-19.16031707,93.89630000,245.74374000,131.05662000
0.590000,21.90725978,-3.53975765,-19.12377581,119.01630000,231.77374000,152.45662000
0.600000,21.91256470,-3.52580196,-19.07246436,139.17630000,148.13374000,156.38662000
0.610000,21.93135598,-3.49760962,-19.00604548,138.02630000,37.39374000,140.61662000
0.620000,21.96414187,-3.46461512,-18.92520216,140.49630000,-34.86626000,140.90662000
0.630000,22.01147661,-3.43222872,-18.83015466,158.87630000,3.98374000,147.28662000
0.640000,22.07444047,-3.39739316,-18.72054022,162.85630000,120.83374000,148.74662000
0.650000,22.15312843,-3.35186619,-18.59576184,140.31630000,177.97374000,163.32662000
0.660000,22.24555775,-3.29196732,-18.45488603,102.10630000,94.06374000,170.04662000
0.670000,22.34810768,-3.22422829,-18.29811903,56.23630000,-56.52626000,133.77662000
0.680000,22.45664897,-3.15997461,-18.12834459,21.01630000,-124.45626000,84.24662000
0.690000,22.56802212,-3.10577077,-17.94915122,10.94630000,-100.58626000,76.03662000
0.700000,22.68076287,-3.06212602,-17.76180217,7.73630000,-100.76626000,91.45662000
0.710000,22.79394848,-3.02918187,-17.56588817,-12.68370000,-129.93626000,85.19662000
0.720000,22.90548570,-3.00906157,-17.36149150,-52.36370000,-156.34626000,79.00662000
0.730000,23.01161628,-3.00451160,-17.14905888,-102.91370000,-184.21626000,79.77662000
0.740000,23.10736347,-3.01652699,-16.92928158,-161.20370000,-141.86626000,56.77662000
0.750000,23.18684401,-3.04193071,-16.70356810,-229.40370000,-71.61626000,45.66662000
0.760000,23.24392916,-3.07736953,-16.47290742,-279.86370000,-120.33626000,51.32662000
0.770000,23.27408942,-3.12671220,-16.23817006,-291.92370000,-247.89626000,16.29662000
0.780000,23.27479204,-3.19887446,-16.00228077,-318.65370000,-300.68626000,-36.29338000
0.790000,23.24275327,-3.29641031,-15.76963179,-384.48370000,-169.70626000,-71.77338000
0.800000,23.17288410,-3.40753776,-15.54399712,-429.65370000,92.40374000,-99.18338000
0.810000,23.06184830,-3.51234780,-15.32779027,-406.93370000,233.56374000,-105.42338000
0.820000,22.91156710,-3.60037043,-15.12198073,-330.35370000,107.93374000,-104.31338000
0.830000,22.72753426,-3.67981916,-14.92721651,-286.48370000,-110.50626000,-126.21338000
0.840000,22.51294603,-3.76604149,-14.74514085,-322.95370000,-161.89626000,-149.25338000
0.850000,22.26695565,-3.86394466,-14.57722050,-327.75370000,-36.96626000,-139.94338000
0.860000,21.99082614,-3.96536067,-14.42272597,-231.16370000,91.28374000,-106.34338000
0.870000,21.69139523,-4.05939253,-14.27932350,-146.03370000,145.73374000,-89.50338000
0.880000,21.37584918,-4.14052848,-14.14560285,-125.43370000,129.05374000,-100.37338000
