t,dx,dy,dz,ax,az
0.0,28.56299201,-1.14876371,-22.36514501,-13.0937,-8.83338
0.01,28.3930983,-1.15203522,-22.27611104,-18.4637,-13.87338
0.02,28.22146896,-1.15981181,-22.18867238,-23.4637,-25.68338
0.03,28.04749696,-1.17478551,-22.10336703,-32.3737,-18.54338
0.04,27.87050083,-1.19717604,-22.019726,-36.8137,-2.25338
0.05,27.6901183,-1.22702792,-21.93662978,-33.5137,2.80662
0.06,27.50650114,-1.26536215,-21.85329162,-29.6037,7.86662
0.07,27.31992133,-1.31389947,-21.76914903,-29.8437,15.18662
0.08,27.13040438,-1.37324113,-21.68372951,-32.2537,14.38662
0.09,26.93789003,-1.43901664,-21.59690205,-29.6037,13.90662
0.1,26.7429303,-1.50118299,-21.50862065,-10.4137,17.50662
0.11,26.54736617,-1.55252069,-21.41884831,22.1963,12.26662
0.12,26.35404641,-1.59815023,-21.32807829,51.7363,-0.58338
0.13,26.16596724,-1.65036686,-21.23709909,79.8963,-1.18338
0.14,25.98623419,-1.71335059,-21.14572244,118.2563,20.39662
0.15,25.8183055,-1.77858691,-21.05218611,151.7063,48.32662
0.16,25.66499166,-1.83480358,-20.9542546,158.8663,60.30662
0.17,25.52726694,-1.87780284,-20.85060465,150.0663,61.34662
0.18,25.40460932,-1.91141545,-20.74072526,139.6263,67.72662
0.19,25.2959173,-1.94235965,-20.62416594,125.2463,71.94662
0.2,25.19989165,-1.97535094,-20.50057893,112.4763,71.03662
0.21,25.11537186,-2.01116958,-20.36986749,105.9763,72.50662
0.22,25.04125742,-2.04665581,-20.23213636,87.7263,66.28662
0.23,24.97536484,-2.07777964,-20.08816554,43.3863,46.05662
0.24,24.91375037,-2.10395881,-19.93997054,-7.4337,12.11662
0.25,24.85201901,-2.12714957,-19.7906681,-37.2537,-24.44338
0.26,24.78735275,-2.14757543,-19.64333248,-39.5137,-40.35338
0.27,24.71946136,-2.16294964,-19.49984992,-16.7837,-47.42338
0.28,24.65032257,-2.17120193,-19.36134167,19.1263,-62.22338
0.29,24.58292564,-2.17418008,-19.22900149,44.1463,-73.30338
0.3,24.51945032,-2.17906056,-19.10410862,45.3863,-87.51338
0.31,24.46011035,-2.19271364,-18.98820157,26.4363,-109.55338
0.32,24.403002,-2.21364082,-18.88291158,-13.0537,-116.51338
0.33,24.344396,-2.23338084,-18.7888324,-64.2937,-104.30338
0.34,24.27982736,-2.24680995,-18.70535979,-100.9237,-97.59338
0.35,24.20582708,-2.25856166,-18.63226,-115.1837,-113.87338
0.36,24.12068141,-2.27827471,-18.57112376,-118.5837,-151.65338
0.37,24.02384809,-2.3097441,-18.52535059,-119.2137,-195.79338
0.38,23.91565489,-2.34656059,-18.49855574,-101.4437,-214.34338
0.39,23.79827504,-2.37963193,-18.49227444,-49.4237,-194.51338
0.4,23.6756243,-2.40726661,-18.50537222,-14.6037,-170.24338
0.41,23.55032291,-2.43662013,-18.53589855,-31.4537,-160.59338
0.42,23.42198314,-2.4761265,-18.5821492,-48.0837,-135.99338
0.43,23.28945322,-2.52904771,-18.64118742,-44.0437,-77.37338
0.44,23.15259042,-2.59441126,-18.7080637,-41.2037,-21.23338
0.45,23.01191247,-2.66914966,-18.77798854,-30.2137,-0.55338
0.46,22.86889637,-2.74771866,-18.8480452,4.0463,18.61662
0.47,22.72672339,-2.82451999,-18.91576842,51.7863,58.20662
0.48,22.58962927,-2.89884893,-18.9781777,91.4763,79.07662
0.49,22.4614315,-2.9743672,-19.0334253,117.0563,71.65662
0.5,22.34517384,-3.05246357,-19.08131871,147.9563,73.32662
0.51,22.24375604,-3.12890529,-19.12151194,176.5663,91.24662
0.52,22.15895485,-3.1991346,-19.15294198,159.5163,96.25662
0.53,22.08969701,-3.2644825,-19.17527059,122.0763,81.84662
0.54,22.03352729,-3.32925725,-19.18941426,115.7963,68.99662
0.55,21.98901642,-3.39371009,-19.19618724,108.6263,76.53662
0.56,21.95506141,-3.45335528,-19.19487229,85.1263,102.99662
0.57,21.9301695,-3.50181581,-19.1835169,79.5863,120.63662
0.58,21.91383396,-3.53217693,-19.16031707,93.8963,131.05662
0.59,21.90725978,-3.53975765,-19.12377581,119.0163,152.45662
0.6,21.9125647,-3.52580196,-19.07246436,139.1763,156.38662
0.61,21.93135598,-3.49760962,-19.00604548,138.0263,140.61662
0.62,21.96414187,-3.46461512,-18.92520216,140.4963,140.90662
0.63,22.01147661,-3.43222872,-18.83015466,158.8763,147.28662
